project,leg,branch,test,duration_days,description,next_leg
mwcu,2,,Leak,5,Helium leak test for sealed components,
mwcu,2,,K-01,14,Thermal cycling test -40C to +85C,
mwcu,2,,K-02,10,Extended thermal stress test,2a;2b
mwcu,2,a,P-01,3,Parameter validation test,
mwcu,2,a,P-02,4,Pressure response characterization,
mwcu,2,a,P-03,6,Endurance vibration test,
mwcu,2,b,P-01,3,Parameter validation test - batch B,
mwcu,2,b,P-02,4,Pressure response - batch B,
mwcu,2,b,P-03,6,Vibration endurance - batch B,
mwcu,3,,Leak,5,Helium leak verification,
mwcu,3,,K-01,14,Thermal profile validation,
mwcu,3,,K-03,12,Thermal shock test sequence,3a;3b
mwcu,3,a,P-04,5,Data acquisition validation,
mwcu,3,a,P-05,7,Power consumption analysis,
mwcu,3,a,P-06,4,Signal integrity check,
mwcu,3,b,P-04,5,Data validation - batch B,
mwcu,3,b,P-05,7,Power analysis - batch B,
mwcu,3,b,P-06,4,Signal check - batch B,
mwcu,4,,Leak,5,Final leak verification,
mwcu,4,,K-05,16,Complete thermal qualification,
mwcu,4,a,P-07,6,Environmental stress test,
mwcu,4,a,P-08,3,Motion response test,
mwcu,4,b,P-07,6,Environmental stress - batch B,
mwcu,4,b,P-08,3,Motion response - batch B,
mwcu,5,,Leak,4,Pre-ship leak check,
mwcu,5,,K-06,20,Full thermal qualification,
mwcu,5,a,P-09,8,Mechanical shock test,
mwcu,5,a,P-10,5,Drop test validation,
hec,1,,Leak,5,Initial leak test HEC project,2
hec,1,,K-01,14,Thermal baseline test,
hec,2,,Leak,5,Secondary leak verification,
hec,2,,K-02,12,Thermal cycling extended,
hec,2,,P-01,4,Parameter baseline,
hec,3,,Leak,4,Final HEC leak check,
hec,3,,K-03,18,Complete thermal profile,
gen3_pv,prototyping,,Leak,6,Prototype leak validation,
gen3_pv,prototyping,,K-01,10,Thermal prototype test,
gen3_pv,prototyping,a,P-01,5,Power prototype validation,engineering
gen3_pv,engineering,,Leak,5,Engineering leak check,
gen3_pv,engineering,,K-02,15,Engineering thermal test,
gen3_pv,engineering,a,P-02,6,Environmental engineering test,production
gen3_pv,production,,Leak,4,Production leak screening,
gen3_pv,production,,K-03,12,Production thermal verification,
product_a,1,,Setup,1,Initial setup and calibration,
product_a,1,,P-01,5,Parameter check 1,
product_a,1,,P-02,5,Parameter check 2,2a;2b
product_a,2,a,K-01,10,Thermal test A1,
product_a,2,a,K-02,10,Thermal test A2,
product_a,2,b,V-01,8,Vibration test B1,
product_a,2,b,V-02,8,Vibration test B2,
product_a,2,b,V-03,8,Vibration test B3,3
product_a,3,,Final,3,Final verification,
